Sampling Date,Location of Monitoring Station,SO2,NO2,RSPM/PM10
2010-10-04,"Govt. High School, Manali, Chennai.",10.26666667,17.38333333,107.0
2010-10-07,"Govt. High School, Manali, Chennai.",11.41666667,18.18333333,127.3333333
2010-10-11,"Govt. High School, Manali, Chennai.",13.8,21.25,144.6666667
2010-10-14,"Govt. High School, Manali, Chennai.",10.25,15.86666667,140.6666667
2010-10-18,"Govt. High School, Manali, Chennai.",8.7,11.95,159.3333333
2010-10-21,"Govt. High School, Manali, Chennai.",11.75,20.7,143.6666667
2010-10-25,"Govt. High School, Manali, Chennai.",10.58333333,16.83333333,119.0
2010-10-28,"Govt. High School, Manali, Chennai.",8.95,17.0,239.0
2010-11-01,"Govt. High School, Manali, Chennai.",9.633333333,14.5,113.6666667
2010-11-04,"Govt. High School, Manali, Chennai.",10.01666667,16.53333333,89.33333333
2010-11-08,"Govt. High School, Manali, Chennai.",9.066666667,15.45,85.33333333
2010-11-11,"Govt. High School, Manali, Chennai.",11.26666667,18.63333333,101.3333333
2010-11-15,"Govt. High School, Manali, Chennai.",10.26666667,16.25,85.0
2010-11-18,"Govt. High School, Manali, Chennai.",10.01666667,15.41666667,88.0
2010-11-22,"Govt. High School, Manali, Chennai.",12.83333333,22.58333333,110.3333333
2010-11-25,"Govt. High School, Manali, Chennai.",11.15,25.33333333,101.6666667
2010-11-29,"Govt. High School, Manali, Chennai.",11.58333333,20.61666667,104.0
2010-12-02,"Govt. High School, Manali, Chennai.",10.81666667,18.41666667,111.0
2010-12-09,"Govt. High School, Manali, Chennai.",10.36666667,17.73333333,119.3333333
2010-12-13,"Govt. High School, Manali, Chennai.",11.96666667,20.11666667,91.66666667
2010-12-16,"Govt. High School, Manali, Chennai.",8.85,14.08333333,86.0
2010-12-20,"Govt. High School, Manali, Chennai.",11.48333333,20.55,143.6666667
2010-12-23,"Govt. High School, Manali, Chennai.",10.81666667,17.88333333,90.33333333
