,Sampling Date,Location of Monitoring Station,SO2,NO2,RSPM/PM10,SPM,PM 2.5
268,15-09-10,"Thiruvottiyur,  Chennai",11.6,19.51666667,60.66666667,162.3333333,
269,17-09-10,"Thiruvottiyur,  Chennai",9.033333333,12.68333333,64.0,137.6666667,
270,22-09-10,"Thiruvottiyur,  Chennai",14.55,24.15,47.66666667,110.6666667,
271,24-09-10,"Thiruvottiyur,  Chennai",9.35,13.28333333,57.66666667,119.6666667,
272,29-09-10,"Thiruvottiyur,  Chennai",11.41666667,19.85,52.0,99.0,
273,10/1/2010,"Thiruvottiyur,  Chennai",11.56666667,19.66666667,90.33333333,114.6666667,
274,10/6/2010,"Thiruvottiyur,  Chennai",12.58333333,21.35,117.6666667,142.6666667,
275,10/8/2010,"Thiruvottiyur,  Chennai",10.45,16.08333333,108.3333333,154.0,
276,13-10-10,"Thiruvottiyur,  Chennai",12.23333333,20.08333333,160.0,292.3333333,
277,15-10-10,"Thiruvottiyur,  Chennai",11.96666667,20.73333333,144.6666667,289.3333333,
278,20-10-10,"Thiruvottiyur,  Chennai",11.6,19.03333333,98.0,127.0,
279,22-10-10,"Thiruvottiyur,  Chennai",13.45,23.2,136.0,238.3333333,
280,27-10-10,"Thiruvottiyur,  Chennai",10.63333333,17.45,107.6666667,201.3333333,
281,29-10-10,"Thiruvottiyur,  Chennai",15.86666667,20.81666667,83.0,129.6666667,
282,11/3/2010,"Thiruvottiyur,  Chennai",9.32,14.14,79.66666667,146.6666667,
283,11/10/2010,"Thiruvottiyur,  Chennai",12.63333333,21.9,98.66666667,153.3333333,
284,11/12/2010,"Thiruvottiyur,  Chennai",10.58333333,17.5,98.0,142.6666667,
285,19-11-10,"Thiruvottiyur,  Chennai",9.316666667,13.11666667,84.0,137.0,
286,24-11-10,"Thiruvottiyur,  Chennai",10.95,18.3,131.3333333,221.0,
287,26-11-10,"Thiruvottiyur,  Chennai",14.96666667,18.78333333,110.0,187.6666667,
288,12/1/2010,"Thiruvottiyur,  Chennai",13.66666667,21.63333333,70.66666667,114.0,
289,12/3/2010,"Thiruvottiyur,  Chennai",11.35,20.26666667,103.3333333,171.6666667,
290,12/8/2010,"Thiruvottiyur,  Chennai",12.28333333,18.76666667,89.0,128.6666667,
291,12/10/2010,"Thiruvottiyur,  Chennai",10.46666667,13.73333333,132.0,212.6666667,
292,15-12-10,"Thiruvottiyur,  Chennai",12.43333333,18.66666667,79.33333333,153.3333333,
293,22-12-10,"Thiruvottiyur,  Chennai",,,,,
294,24-12-10,"Thiruvottiyur,  Chennai",15.31666667,18.86666667,55.33333333,180.0,
295,31-12-10,"Thiruvottiyur,  Chennai",12.8,20.75,120.6666667,223.6666667,
1656,1/5/2011,"Thiruvottiyur,  Chennai",13.0,19.0,98.0,,
1657,1/7/2011,"Thiruvottiyur,  Chennai",11.0,20.0,166.0,,
1658,1/12/2011,"Thiruvottiyur,  Chennai",9.0,12.0,149.0,,
1659,14/01/2011,"Thiruvottiyur,  Chennai",12.0,19.0,93.0,,
1660,19/01/2011,"Thiruvottiyur,  Chennai",12.0,20.0,73.0,,
1661,21/01/2011,"Thiruvottiyur,  Chennai",11.0,21.0,61.0,,
1662,28/01/2011,"Thiruvottiyur,  Chennai",9.0,13.0,73.0,,
1663,2/2/2011,"Thiruvottiyur,  Chennai",12.0,20.0,93.0,,
1664,2/4/2011,"Thiruvottiyur,  Chennai",12.0,20.0,128.0,,
1665,2/9/2011,"Thiruvottiyur,  Chennai",13.0,20.0,118.0,,
1666,2/11/2011,"Thiruvottiyur,  Chennai",11.0,19.0,133.0,,
1667,17/02/2011,"Thiruvottiyur,  Chennai",38.0,36.0,74.0,,
1668,18/02/2011,"Thiruvottiyur,  Chennai",11.0,14.0,64.0,,
1669,23/02/2011,"Thiruvottiyur,  Chennai",12.0,20.0,73.0,,
1670,25/02/2011,"Thiruvottiyur,  Chennai",12.0,19.0,89.0,,
1671,3/2/2011,"Thiruvottiyur,  Chennai",8.0,19.0,106.0,,
1672,3/4/2011,"Thiruvottiyur,  Chennai",15.0,23.0,81.0,,
1673,3/9/2011,"Thiruvottiyur,  Chennai",12.0,24.0,98.0,,
1674,3/11/2011,"Thiruvottiyur,  Chennai",11.0,22.0,40.0,,
1675,16/03/2011,"Thiruvottiyur,  Chennai",9.0,20.0,52.0,,
1676,18/03/2011,"Thiruvottiyur,  Chennai",12.0,12.0,57.0,,
1677,23/03/2011,"Thiruvottiyur,  Chennai",15.0,33.0,61.0,,
1678,25/03/2011,"Thiruvottiyur,  Chennai",14.0,12.0,42.0,,
1679,30/03/2011,"Thiruvottiyur,  Chennai",12.0,12.0,57.0,,
1680,4/1/2011,"Thiruvottiyur,  Chennai",10.0,30.0,89.0,,
1681,4/6/2011,"Thiruvottiyur,  Chennai",12.0,12.0,82.0,,
1682,4/8/2011,"Thiruvottiyur,  Chennai",11.0,13.0,35.0,,
1683,15/04/2011,"Thiruvottiyur,  Chennai",10.0,16.0,44.0,,
1684,20/04/2011,"Thiruvottiyur,  Chennai",9.0,16.0,50.0,,
1685,27/04/2011,"Thiruvottiyur,  Chennai",17.0,17.0,79.0,,
1686,29/04/2011,"Thiruvottiyur,  Chennai",9.0,19.0,67.0,,
1687,5/4/2011,"Thiruvottiyur,  Chennai",10.0,15.0,103.0,,
